Description, SNOMED-CT, HCPCS, ICD-10
Home oxygen therapy (procedure),426990007,,
Admission to thoracic surgery department,305411003,,
Transplant of lung (procedure),88039007,,
Lung volume reduction surgery (procedure),429609002,,
"Alzheimers disease (disorder)",26929004,,
"Familial Alzheimers disease of early onset (disorder)",230265002,,
Demential management,386257007,,
Promotion of use of memory skills,710125008,,
Long term social support,315043002,,
Office Visit,316744009,,
J18.9,233604007,,
Hospital admission,34285007,,
Atopic dermatitis,24079001,,
Contact dermatitis,40275004,,
Skin condition care,711282006,,
Application of moisturizer to skin,225130001,,
cycloSPORINE 50 MG Oral Capsule,205168,,
Otitis media,65363002,,
Primary fibromyalgia syndrome,95417003,,
Hospital admission,32485007,,
Food allergy diet,409002,,
Gout,90560007,,
Physical exercises,183301007,,
Ice therapy,229580007,,
Domiciliary or rest home patient evaluation and management,210098006,,
Information gathering (procedure),311791003,,
Spinal cord injury rehabilitation,75162002,,
Application of back brace,77476009,,
Fracture of the vertebral column with spinal cord injury,1734006,,
Chronic paralysis due to lesion of spinal cord,698754002,,
Fracture of vertebral column without spinal cord injury,15724005,,
Admission to neurosurgical department,305425002,,
T14.8,262574004,,
Admission to trauma surgery department,305433001,,
Wound care,225358003,,
Dressing change management,385949008,,
Behavior to prevent infection,439830001,,
Concussion with no loss of consciousness,62106007,,
Concussion with loss of consciousness,62564004,,
Concussion injury of brain,110030002,,
Brain damage - traumatic,275272006,,
Head injury rehabilitation,47387005,,
Alcohol-free diet,226138001,,
Whiplash injury to neck,39848009,,
Heat therapy,266694003,,
Fracture of clavicle,58150001,,
Fracture of forearm,65966004,,
Fracture subluxation of wrist,263102004,,
Fracture of ankle,16114001,,
Fracture of rib,33737001,,
Closed fracture of hip,359817006,,
Bone immobilization,274474001,,
Admission to orthopedic department,305428000,,
Fracture care,385691007,,
Physical activity target light exercise,408580007,,
Bone density scan (procedure),312681000,,
Osteoporosis (disorder),64859006,,
Pathological fracture due to osteoporosis (disorder),443165006,,
First degree burn,403190006,,
Second degree burn,403191005,,
Third degree burn,403192003,,
Burn care,133901003,,
Behavior to prevent sun exposure,440381005,,
Admission to burn unit,183450002,,
Admission to long stay hospital,305340004,,
Laceration of hand,284549007,,
Laceration of forearm,283371005,,
Laceration of thigh,283385000,,
Facial laceration,370247008,,
Laceration of foot,284551006,,
Suture open wound,288086009,,
Injection of tetanus antitoxin,384700001,,
S93.409A,44465007,,
S63.509A,70704007,,
,91251008,,
Rest ice compression and elevation treatment programme,229586001,,
Stretching exercises,229070002,,
Injury of anterior cruciate ligament,444470001,,
Injury of medial collateral ligament of knee,444448004,,
Tear of meniscus of knee,239720000,,
Rupture of patellar tendon,30832001,,
Non-urgent orthopedic admission,183495009,,
Surgical manipulation of joint of knee,699253003,,
Injury of tendon of the rotator cuff of shoulder,307731004,,
Encounter for problem,184347001,,
Surgical manipulation of shoulder joint,387685009,,
Burn injury(morphologic abnormality),48333001,,
Suspected lung cancer (situation),162573006,,
Computed tomography of chest and abdomen,418891003,,
Non-small cell lung cancer (disorder),254637007,,
Small cell carcinoma of lung (disorder),254632001,,
Sputum microscopy (procedure),167995008,,
Thoracentesis (procedure),91602002,,
Fine needle aspiration biopsy of lung (procedure),432231006,,
Diagnostic fiberoptic bronchoscopy (procedure),173160006,,
Non-small cell carcinoma of lungTNM stage 1 (disorder),424132000,,
Non-small cell carcinoma of lungTNM stage 2 (disorder),425048006,,
Non-small cell carcinoma of lungTNM stage 3 (disorder),422968005,,
Non-small cell carcinoma of lungTNM stage 4 (disorder),423121009,,
Terminal care,182964004,,
Comfort measures,133918004,,
Chronic pain control management,408957008,,
Magnetic resonance imaging for measurement of brain volume (procedure),698354004,,
Lupus erythematosus,200936003,,
Take at regular intervals. Complete the prescribed course unless otherwise directed.,418577003,,
Do not take milkindigestion remediesor medicines containing iron or zinc at the same time of day as this medicine,419115000,,
Renal dialysis (procedure),265764009,,
Impacted molars,196416002,,
Extraction of wisdom tooth,65546002,,
Chronic pain,82423001,,
Drug rehabilitation and detoxification,56876005,,
Drug addiction therapy,266707007,,
Drug overdose,55680006,,
Drug addiction counseling,60112009,,
Drug detoxification,61480009,,
Localizedprimary osteoarthritis of the hand,201834006,,
Osteoarthritis of knee,239873007,,
Osteoarthritis of hip,239872002,,
Normal pregnancy,72892002,,
Prenatal initial visit,424441002,,
Standard pregnancy test,252160004,,
Routine antenatal care,134435003,,
Antenatal education,135892000,,
Pregnancy diet education,171054004,,
Prenatal visit,424619006,,
Preeclampsia,398254007,,
Antepartum eclampsia,198992004,,
Obstetric emergency hospital admission,183460006,,
Medical induction of labor,31208007,,
Epidural anesthesia,18946005,,
Augmentation of labor,237001001,,
Episiotomy,85548006,,
Instrumental delivery,236974004,,
Spontaneous breech delivery,177157003,,
Childbirth,66348005,,
Premature birth of newborn,65588006,,
Cesarean section,11466000,,
Miscarriage in first trimester,19169002,,
Miscarriage in second trimester,85116003,,
Fetus with chromosomal abnormality,267253006,,
Blighted ovum,35999006,,
Tubal pregnancy,79586000,,
Excision of fallopian tube and surgical removal of ectopic pregnancy,445912000,,
Congenital uterine anomaly,37849005,,
Complication occuring during pregnancy,609496007,,
Patient-initiated encounter,270427003,,
Induced termination of pregnancy,714812005,,
Rheumatoid arthritis,69896004,,
Suicidal deliberate poisoning,86849004,NA,
Attempted suicide - cut/stab,287185009,NA,
Attempted suicide - suffocation,287182007,NA,
Evaluation of psychiatric state of patient,90407005,,
Hospital admissionshort-term24 hours,74857009,,
Anti-suicide psychotherapy,183401008,,
,415665002,,
,10029008,,
Psychiatric follow-up,88848003,90899,
Suicide - firearms,287193009,NA,
Suicide - suffocation,287191006,NA,
Suicide,44301001,NA,
Autopsy examination,29240004,88020,
Viral sinusitis (disorder),444814009,NA,
Acute bacterial sinusitis (disorder),75498004,NA,
Sinusitis (disorder),36971009,NA,
Chronic sinusitis (disorder),40055000,NA,
Nasal sinus endoscopy (procedure),112790001,31295,
Acute viral pharyngitis (disorder),195662009,NA,
Streptococcal sore throat (disorder),43878008,NA,
Throat culture (procedure),117015009,87880,
Total knee replacement,609588000,27447,
Total replacement of hip,52734007,27130,
Escherichia coli urinary tract infection,301011002,G9684,
Cystitis,38822007,G8709,
Pyelonephritis,45816000,NA,
Discussion about hygiene,223472008,NA,
Urine screening,171245007,81005,
Recurrent urinary tract infection,197927001,G9684,
